Species,mg/m2,0.0033,0.0066,0.0131,0.0175,0.0263,0.0525,0.1050,0.42,0.84,1.68,3.36,6.72,13.44,26.88,53.76,107.52,215.04,430.08,860.16
,dead,0,0,0,0,0,0,0,0,2,3,5,6,6,8,8,8,8,8,8
"Oxythyrea funesta (Poda, 1761)",living,6,6,6,6,6,6,6,6,6,6,6,5,4,4,5,3,1,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,5,6,6
"Podistra schoenherri (Dejean, 1837)",living,8,8,8,8,8,8,8,6,5,3,2,1,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,2,3,5,6,7,8,8,8,8,8,8,8
"Graphosoma italicum (Müller, 1766)",living,6,6,6,6,6,6,6,6,5,4,4,3,2,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,1,2,2,3,4,6,6,6,6,6,6
"Lygus pratensis (Linnaeus, 1758)",living,8,8,8,8,8,8,8,8,6,3,3,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,2,5,5,8,8,8,8,8,8,8,8
"Coreus marginatus (Linnaeus, 1758)",living,6,6,6,6,6,6,6,6,4,3,3,1,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,2,3,3,5,6,6,6,6,6,6,6
"Pyrrhocoris apterus (Linnaeus, 1758)",living,8,8,6,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0
,dead,0,0,2,5,6,6,7,6,7,8,8,8,8,8,8,8,8,8,8
"Scolopostethus pilosus Reuter,1874",living,6,6,6,6,6,6,6,4,4,2,2,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,2,2,4,4,6,6,6,6,6,6,6,6
"Rhyparochromus phoeniceus (Rossi, 1794)",living,8,8,8,8,8,8,8,6,5,5,2,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,2,3,3,6,8,8,8,8,8,8,8,8
"Myrmica ruginodis Nylander, 1846",living,8,8,8,8,8,8,8,8,7,6,4,2,1,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,1,2,4,6,7,8,8,8,8,8,8
"Lasius flavus (Fabricius, 1782)",living,8,8,8,8,8,8,8,8,8,8,6,5,2,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,2,3,6,8,8,8,8,8,8
"L. fuliginosus (Latreille, 1798)",living,8,8,8,8,8,8,8,5,5,4,2,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,3,3,4,6,8,8,8,8,8,8,8,8
"L. niger (Linnaeus, 1758)",living,8,8,8,8,8,8,8,8,8,8,8,8,6,5,3,0,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,8,8,8
